date,available,price_in_dollars,accommodates,availability_365
2020-10-15,t,11000.0,2,365
2020-10-20,t,6900.0,2,365
2020-10-15,t,25000.0,2,365
2020-10-20,t,10000.0,2,365
2020-10-17,t,5900.0,2,365
2020-10-20,t,6700.0,2,365
2020-10-13,t,9800.0,2,365
2020-10-16,t,6000.0,2,365
2020-10-17,t,8500.0,2,365
2020-10-19,t,9000.0,2,365
2020-10-16,t,12000.0,2,365
2020-10-17,t,7000.0,2,365
2020-10-17,t,6600.0,2,365
2020-10-18,t,6500.0,2,365
2020-10-19,t,20000.0,2,365
2020-10-15,t,11500.0,2,365
2020-10-15,t,6600.0,2,365
2020-10-17,t,10000.0,2,365
2020-10-16,t,32000.0,2,365
2020-10-15,t,7200.0,2,365
2020-10-16,t,6000.0,2,365
2020-10-18,t,17000.0,2,365
2020-10-16,t,6000.0,2,365
2020-10-16,t,7000.0,2,365
2020-10-16,t,7900.0,2,365
2020-10-16,t,7300.0,2,365
2020-10-17,t,8800.0,2,365
2020-10-17,t,14900.0,2,365
2020-10-15,t,4200.0,2,365
